Time,Force
(s),(N)
"9.8980","1.7785"
"9.9040","1.4804"
"9.9090","1.2144"
"9.9140","0.9405"
"9.9190","0.6707"
"9.9250","0.3819"
"9.9330","0.1196"
"9.9530","-0.1120"
"9.9730","-0.0790"
"9.9930","-0.0218"
"10.0130","0.0024"
"10.0330","0.0054"
"10.0530","0.0027"
"10.0730","0.0001"
"10.0930","0.0019"
"10.1130","-0.0015"
"10.1330","-0.0002"
"10.1530","-0.0008"
"10.1730","0.0026"
"10.1930","-0.0001"
"10.2130","-0.0011"
"10.2330","-0.0024"
"10.2530","0.0018"
"10.2730","0.0005"
"10.2930","0.0007"
"10.3130","-0.0018"
"10.3330","0.0006"
"10.3530","0.0002"
"10.3730","-0.0003"
"10.3930","-0.0021"
"10.4130","0.0005"
"10.4330","0.0020"
"10.4530","0.0015"
"10.4730","-0.0005"
"10.4930","-0.0007"
"10.5130","-0.0001"
"10.5330","0.0004"
"10.5530","0.0004"
"10.5730","-0.0015"
"10.5930","0.0011"
"10.6130","0.0008"
"10.6330","-0.0002"
"10.6530","-0.0022"
"10.6730","0.0013"
"10.6930","0.0064"
"10.7130","0.0727"
"10.7330","0.3136"
"10.7450","0.5646"
"10.7560","0.8390"
"10.7660","1.0944"
"10.7770","1.3504"
"10.7900","1.6032"
"10.8050","1.8578"
"10.8180","2.1113"
"10.8280","2.3756"
"10.8360","2.6579"
"10.8420","2.9216"
"10.8470","3.1796"
"10.8520","3.4722"
"10.8560","3.7281"
"10.8600","4.0000"
"10.8640","4.2829"
"10.8680","4.5710"
"10.8720","4.8560"
"10.8760","5.1276"
"10.8810","5.4317"
"10.8870","5.7175"
"10.9070","5.6209"
"10.9110","5.3528"
"10.9140","5.0953"
"10.9170","4.7916"
"10.9200","4.4448"
"10.9220","4.1916"
"10.9240","3.9224"
"10.9260","3.6387"
"10.9280","3.3424"
"10.9300","3.0360"
"10.9320","2.7231"
"10.9340","2.4088"
"10.9360","2.0994"
"10.9380","1.8017"
"10.9400","1.5220"
"10.9420","1.2659"
"10.9450","0.9305"
"10.9480","0.6468"
"10.9520","0.3365"
"10.9570","0.0524"
"10.9650","-0.2076"
"10.9850","-0.2690"
"11.0050","-0.1011"
"11.0250","-0.0086"
"11.0450","0.0148"
"11.0650","0.0068"
"11.0850","0.0022"
"11.1050","-0.0001"
"11.1250","0.0006"
"11.1450","-0.0026"
"11.1650","-0.0004"
"11.1850","0.0011"
"11.2050","0.0017"
"11.2250","-0.0009"
"11.2450","-0.0005"
"11.2650","0.0011"
"11.2850","0.0012"
"11.3050","-0.0005"
"11.3250","-0.0015"
"11.3450","0.0007"
"11.3650","0.0006"
"11.3850","0.0003"
"11.4050","-0.0018"
"11.4250","0.0005"
"11.4450","0.0000"
"11.4650","0.0003"
"11.4850","-0.0015"
"11.5050","0.0010"
"11.5250","0.0003"
"11.5450","0.0004"
"11.5650","-0.0023"
"11.5850","0.0002"
"11.6050","0.0011"
"11.6250","0.0017"
"11.6450","-0.0018"
"11.6650","-0.0008"
"11.6850","0.0002"
"11.7050","0.0017"
"11.7250","-0.0009"
"11.7450","-0.0006"
"11.7650","0.0006"
"11.7850","0.0008"
"11.8050","0.0003"
"11.8250","-0.0012"
"11.8450","0.0002"
"11.8650","0.0008"
"11.8850","0.0007"
"11.9050","-0.0010"
"11.9250","0.0019"
"11.9450","0.0010"
"11.9650","0.0006"
"11.9850","-0.0024"
"12.0050","0.0011"
"12.0250","0.0009"
"12.0450","0.0014"
"12.0650","-0.0019"
"12.0850","0.0001"
"12.1050","0.0000"
"12.1250","0.0008"
"12.1450","-0.0017"
"12.1650","-0.0005"
"12.1850","0.0005"
"12.2050","0.0012"
"12.2250","-0.0007"
"12.2450","-0.0005"
"12.2650","0.0009"
"12.2850","0.0003"
"12.3050","-0.0001"
"12.3250","-0.0004"
"12.3450","0.0018"
"12.3650","0.0006"
"12.3850","0.0009"
"12.4050","-0.0011"
"12.4250","0.0018"
"12.4450","0.0007"
"12.4650","0.0010"
"12.4850","-0.0017"
"12.5050","0.0015"
"12.5250","0.0004"
"12.5450","0.0011"
"12.5650","-0.0017"
"12.5850","0.0012"
"12.6050","0.0004"
"12.6250","0.0021"
"12.6450","-0.0023"
"12.6650","-0.0018"
"12.6850","0.0007"
"12.7050","0.0021"
"12.7250","-0.0009"
